Posting Date,Transaction Date,Description,State,Amount,Store
12/29,12/31,SBARRO 142 614-7699884,NY,6.52,SBARRO 142 614-7699884
12/30,12/31,TST* MAGNOLIA BAKERY - HUNEW YORK,NY,9.25,TST* MAGNOLIA BAKERY - HUNEW YORK
01/01,01/02,APPLE.COM/BILL 866-712-7753,CA,1.05,APPLE.COMBILL 866-712-7753
01/01,01/02,HARRIS TEETER #0083 ARLINGTON,VA,18.83,HARRIS TEETER #0083 ARLINGTON
01/02,01/03,TARGET 00034306 ARLINGTON,VA,2.51,TARGET 00034306 ARLINGTON
01/02,01/03,AUNTIE ANNES #VA127 ARLINGTON,VA,7.14,AUNTIE ANNES #VA127 ARLINGTON
01/03,01/04,IC* INSTACART 888-246-7822,CA,2.09,IC* INSTACART 888-246-7822
01/03,01/04,IC* INSTACART 888-246-7822,CA,51.73,IC* INSTACART 888-246-7822
01/03,01/04,COSTCO WHSE #0233 ARLINGTON,VA,34.56,COSTCO WHSE #0233 ARLINGTON
01/03,01/06,FIVE BELOW 8097 ARLINGTON,VA,8.48,FIVE BELOW 8097 ARLINGTON
01/05,01/05,01/06 EMPOWER* VICTOR LOPEZ DRIVEEMPOWER.VA 1757 0387,,11.67,0106 EMPOWER* VICTOR LOPEZ DRIVEEMPOWER.VA 1757 0387
01/06,01/06,AMERICAN AIR0012203345434FORT WORTH,TX,181.19,AMERICAN AIR0012203345434FORT WORTH
01/07,01/08,IC* INSTACART*1102 888-246-7822,CA,17.24,IC* INSTACART*1102 888-246-7822
01/08,01/08,01/08 Amazon.com*Z53HK84O2 Amzn.com/billWA 3426 0387,,8.36,0108 Amazon.com*Z53HK84O2 Amzn.combillWA 3426 0387
01/08,01/09,AMERICAN AIR0014451515377FORT WORTH,TX,35.0,AMERICAN AIR0014451515377FORT WORTH
01/08,01/09,AMERICAN AIR0014451515378FORT WORTH,TX,45.0,AMERICAN AIR0014451515378FORT WORTH
01/08,01/09,HARRIS TEETER #0083 ARLINGTON,VA,11.13,HARRIS TEETER #0083 ARLINGTON
01/08,01/10,MIMI S HANDMADE ICE CREAMARLINGTON,VA,8.25,MIMI S HANDMADE ICE CREAMARLINGTON
01/09,01/09,01/10 EMPOWER* MICHAEL ESEIG DRIVEEMPOWER.VA 4918 0387,,45.66,0110 EMPOWER* MICHAEL ESEIG DRIVEEMPOWER.VA 4918 0387
01/10,01/11,www.cvs.com 800-746-7287,RI,4.99,www.cvs.com 800-746-7287
01/11,01/11,01/11 UBER *EATS HELP.UBER.COMCA 7799 0387,,30.14,0111 UBER *EATS HELP.UBER.COMCA 7799 0387
01/11,01/11,"01/13 GITHUB, INC. HTTPSGITHUB.CCA 0294 0387",,5.0,"0113 GITHUB, INC. HTTPSGITHUB.CCA 0294 0387"
01/11,01/13,TARGET.COM 800-591-3869,MN,7.74,TARGET.COM 800-591-3869
01/11,01/13,CVS/PHARMACY #02750 ARLINGTON,VA,3.91,CVSPHARMACY #02750 ARLINGTON
01/12,01/12,01/13 AMAZON MKTPL*Z520Z4SA2 Amzn.com/billWA 1500 0387,,25.64,0113 AMAZON MKTPL*Z520Z4SA2 Amzn.combillWA 1500 0387
01/12,01/12,01/13 UBER *TRIP HELP.UBER.COMCA 7890 0387,,42.92,0113 UBER *TRIP HELP.UBER.COMCA 7890 0387
01/12,01/13,HARRIS TEETER #0083 ARLINGTON,VA,5.04,HARRIS TEETER #0083 ARLINGTON
01/14,01/14,01/15 UBER *EATS HELP.UBER.COMCA 5639 0387,,17.2,0115 UBER *EATS HELP.UBER.COMCA 5639 0387
01/14,01/15,COSTCO WHSE #0233 ARLINGTON,VA,18.72,COSTCO WHSE #0233 ARLINGTON
01/16,01/17,TM *AN EVENING WITH BI 800-653-8000,CA,51.55,TM *AN EVENING WITH BI 800-653-8000
01/18,01/18,01/20 UBER *EATS HELP.UBER.COMCA 8059 0387,,22.77,0120 UBER *EATS HELP.UBER.COMCA 8059 0387
01/19,01/20,IC* COSTCO BY IN CAR 888-246-7822,CA,50.53,IC* COSTCO BY IN CAR 888-246-7822
01/21,01/22,WHOLEFDS GWU 10414 WASHINGTON,DC,7.54,WHOLEFDS GWU 10414 WASHINGTON
01/22,01/22,01/22 UBER *EATS HELP.UBER.COMCA 3280 0387,,25.3,0122 UBER *EATS HELP.UBER.COMCA 3280 0387
01/21,01/23,FMB LAUNDRY MOBILE PASADENA,MD,10.0,FMB LAUNDRY MOBILE PASADENA
