Name,Category,Address,City,State,Zipcode,Phone,Latitude,Longitude
STARR RESTAURANT ORGANIZATION LP,Restaurant,1601 14TH ST NW ,WASHINGTON,DC,20009,Not Available,38.91137152,-77.03160624
LION HOSPITALITY LLC,Restaurant,1200 19TH ST NW ,WASHINGTON,DC,20036,Not Available,38.90610705,-77.04386876
SALA THAI,Restaurant,2300 WASHINGTON PL NE ,WASHINGTON,DC,20018,Not Available,38.92041755,-76.99543999
THE CONSTITUTION CAFE,Restaurant,1400 CONSTITUTION AVE NE ,WASHINGTON,DC,20002,2127898100.0,38.89220058,-76.98529936
"JMDC RHODE ISLAND, LLC.",Restaurant,2300 WASHINGTON PL NE ,WASHINGTON,DC,20018,Not Available,38.92041755,-76.99543999
STUBS LLC,Restaurant,1401 T ST NW ,WASHINGTON,DC,20009,Not Available,38.91571119,-77.03228686
ROTI 1629 K STREET LLC,Restaurant,1629 K ST NW ,WASHINGTON,DC,20006,Not Available,38.90292279,-77.03789588
MARRIOTT MARQUIS,Restaurant,901 MASSACHUSETTS AVE NW ,WASHINGTON,DC,20001,Not Available,38.90367009,-77.02467863
"THE CLASS DELI, LLC",Restaurant,6415 CHILLUM PL NW ,WASHINGTON,DC,20012,Not Available,38.96798551,-77.01225843
SODEXO OPERATIONS LLC,Restaurant,1900 PENNSYLVANIA AVE NW ,WASHINGTON,DC,20431,Not Available,38.8999934,-77.04426561
Unknown,Restaurant,1327 CONNECTICUT AVE NW ,WASHINGTON,DC,20036,Not Available,38.90806187,-77.04212624
EL PULGARCITO RESTAURANT L.L.C.,Restaurant,5313 GEORGIA AVE NW ,WASHINGTON,DC,20011,Not Available,38.9545879,-77.02755168
BUL CORP,Restaurant,2431 18TH ST NW ,WASHINGTON,DC,20009,Not Available,38.92133954,-77.04189446
JACOB'S COFFEE HOUSE,Restaurant,401 8TH ST NE ,WASHINGTON,DC,20002,Not Available,38.89494039,-76.99475931
CMSA LLC,Restaurant,801 O ST NW ,WASHINGTON,DC,20001,Not Available,38.90875496,-77.02312286
NANDO'S OF H STREET LLC.,Restaurant,411 H ST NE ,WASHINGTON,DC,20002,Not Available,38.89998825,-77.00008104
Bibiana LLC.,Restaurant,1100 NEW YORK AVE NW ,WASHINGTON,DC,20005,Not Available,38.9006693,-77.0274437
FOURTH STREET DINING INC.,Restaurant,425 I ST NW ,WASHINGTON,DC,20001,2022556549.0,38.9016618,-77.01690199
NORTH BROTHERS LLC.,Restaurant,817 7TH ST NW ,WASHINGTON,DC,20001,Not Available,38.90031878,-77.02160935
1225 WSH FOOD CORP.,Restaurant,1225 I ST NW ,WASHINGTON,DC,20005,Not Available,38.90164999,-77.02915986
Levy Premium Foodservice Limited Partnership,Restaurant,1500 SOUTH CAPITOL ST SE ,WASHINGTON,DC,20003,Not Available,38.87235978,-77.00852675
WASHINGTON HILTON HOTEL (THE),Restaurant,1919 CONNECTICUT AVE NW ,WASHINGTON,DC,20009,Not Available,38.91646431,-77.04523681
CUCINA AL VOLO MANUFACTURING LLC,Restaurant,1790 COLUMBIA RD NW ,WASHINGTON,DC,20009,Not Available,38.92270408,-77.04218805
FIVE GUYS OPERATIONS,Restaurant,320 RIGGS RD NE ,WASHINGTON,DC,20011,Not Available,38.95878262,-77.00155447
AJ & SS FOOD CORPORATION,Restaurant,3504 12TH ST NE ,WASHINGTON,DC,20017,Not Available,38.9327913349,-76.9912210499
"FT CASALUCA DC II, LLC",Restaurant,4445 CONNECTICUT AVE NW ,WASHINGTON,DC,20008,Not Available,38.94662542,-77.06459607
FARMERS & DISTILLERS DC LLC.,Restaurant,600 MASSACHUSETTS AVE NW ,WASHINGTON,DC,20001,Not Available,38.90139959,-77.02052889
JJS LLC,Restaurant,700 5TH ST NW ,WASHINGTON,DC,20001,Not Available,38.89847418,-77.01910757
DDC 4530 - Wisconsin LLC,Restaurant,4530 WISCONSIN AVE NW ,WASHINGTON,DC,20016,Not Available,38.94935685,-77.08065022
ABDO F STREET L.L.C.,Restaurant,2224 F ST NW ,WASHINGTON,DC,20037,Not Available,38.89716078,-77.04966309
BOSSA BRAZILIAN BISTRO,Restaurant,2463 18TH ST NW ,WASHINGTON,DC,20009,2026670088.0,38.92209272,-77.04216059
NODDLE DOG HOSPITALITY LLC,Restaurant,922 RR N ST NW ,WASHINGTON,DC,20001,2027331522.0,38.90705268,-77.02486843
SEASONS CULINARY SERVICE INC.,Restaurant,555 11TH ST NW ,WASHINGTON,DC,20004,7037060440.0,38.8966931,-77.0266501
RESTAURANT ASSOCIATES OF NEW YORK LLC.,Restaurant,2121 PENNSYLVANIA AVE NW ,WASHINGTON,DC,20433,7043285173.0,38.90205707,-77.04761143
Stable DC,Restaurant,1324 H ST NE ,WASHINGTON,DC,20002,Not Available,38.90044269,-76.98734934
HAYDEE'S 2000,Restaurant,6303 GEORGIA AVE NW ,WASHINGTON,DC,20011,2028217943.0,38.96634511,-77.0272996
DH & SH CORPORATION,Restaurant,1020 19TH ST NW ,WASHINGTON,DC,20036,2024291701.0,38.90317593,-77.04380839
Unknown,Restaurant,949 WHARF ST SW ,WASHINGTON,DC,20024,2026294912.0,38.88011749,-77.02606824
ARAMARK EDUCATIONAL SERVICES LLC,Restaurant,3700 O ST NW ,WASHINGTON,DC,20057,Not Available,38.90750247,-77.07273891
Hill Restaurant Group,Restaurant,501 8TH ST SE ,WASHINGTON,DC,20003,Not Available,38.88257947,-76.99526733
"PENG CHENG, INC.",Restaurant,4830 MACARTHUR BLVD NW ,WASHINGTON,DC,20007,Not Available,38.91685082,-77.09656568
"1825 18TH HOSPITALITY, LLC.",Restaurant,1825 18TH ST NW ,WASHINGTON,DC,20009,Not Available,38.91503322,-77.04143391
PHO 14,Restaurant,1436 PARK RD NW ,WASHINGTON,DC,20010,2029862326.0,38.93055098,-77.03409367
ANGELICO PIZZERIA,Restaurant,2313 WISCONSIN AVE NW ,WASHINGTON,DC,20007,2023338350.0,38.92069059,-77.07152137
"GMB FOOD SERVICES, LLC",Restaurant,4483 CONNECTICUT AVE NW ,WASHINGTON,DC,20008,2023641010.0,38.94769433,-77.06522009
PRET A  MANGER USA LIMITED,Restaurant,1155 F ST NW ,WASHINGTON,DC,20005,2024642622.0,38.89757461,-77.02763444
TJ ENTERPRISE LLC.,Restaurant,1101 15TH ST NW ,WASHINGTON,DC,20005,7039816290.0,38.9039334,-77.03421526
IHOP RESTAURANT #3332,Restaurant,3100 14TH ST NW ,WASHINGTON,DC,20010,2025624446.0,38.92930077,-77.03298372
CORPORATE CHEFS INC.,Restaurant,200 INDEPENDENCE AVE SW ,WASHINGTON,DC,20201,9783727400.0,38.88687586,-77.01439445
JKM INCORPORATED,Restaurant,3720 14TH ST NW ,WASHINGTON,DC,20010,Not Available,38.9377756958,-77.0330593833
Three Bears LLC,Restaurant,1100 P ST NW ,WASHINGTON,DC,20005,Not Available,38.90950642,-77.02738749
IMA Pizza Store 63 LLC.,Restaurant,4235 WISCONSIN AVE NW ,WASHINGTON,DC,20016,Not Available,38.94423661,-77.07730021
Boom Boom Crab,Restaurant,1060 BRENTWOOD RD NE ,WASHINGTON,DC,20018,Not Available,38.92018824,-76.99377059
ALADDIN KITCHEN 2 INC,Restaurant,6230 GEORGIA AVE NW ,WASHINGTON,DC,20011,Not Available,38.96587807,-77.02792044
"Sampannee, Inc.",Restaurant,2122 P ST NW ,WASHINGTON,DC,20037,Not Available,38.90940299,-77.04762613
"LITTLE HOUSE (THE), LLC",Restaurant,1255 UNION ST NE ,WASHINGTON,DC,20002,Not Available,38.90858548,-77.00056553
One Market L.L.C.,Restaurant,1835 I ST NW ,WASHINGTON,DC,20006,Not Available,38.90189036,-77.04255976
Cuba Libre DC LLC,Restaurant,801 9TH ST NW ,WASHINGTON,DC,20001,Not Available,38.90030524,-77.02361376
202 LOUNGE ONE L.L.C.,Restaurant,609 H ST NW ,WASHINGTON,DC,20001,Not Available,38.90010439,-77.02039767
MGBK LLC,Restaurant,4815 GEORGIA AVE NW ,WASHINGTON,DC,20011,Not Available,38.94881821,-77.02672865
"Taqueria Xochi Intl, LLC t/a Taqueria Xochi",Restaurant,1835 I ST NW ,WASHINGTON,DC,20006,Not Available,38.90189036,-77.04255976
"Oko Hospitality Group, LLC",Restaurant,2000 PENNSYLVANIA AVE NW ,WASHINGTON,DC,20006,Not Available,38.90035538,-77.0457758
Hiraya Kapamilya L.L.C.,Restaurant,1250 H ST NE ,WASHINGTON,DC,20002,Not Available,38.90039036,-76.98857573
THAI LOVE DC LLC.,Restaurant,3433 CONNECTICUT AVE NW ,WASHINGTON,DC,20008,Not Available,38.93533119,-77.05800436
FORTUNA RESTAURANT GROUP LLC,Restaurant,3911 GEORGIA AVE NW ,WASHINGTON,DC,20011,Not Available,38.93914536,-77.02447141
PK LLC,Restaurant,1901 C ST SE ,WASHINGTON,DC,20003,Not Available,38.88512824,-76.97658974
Blank Street Inc,Restaurant,3235 PROSPECT ST NW ,WASHINGTON,DC,20007,Not Available,38.90612521,-77.06325302
"Thompson Washington DC c/o Oxford Hotels & Resorts, LLC",Restaurant,221 TINGEY ST SE ,WASHINGTON,DC,20003,Not Available,38.87469056,-77.00268281
"Bakhtar Group, LLC",Restaurant,732 MARYLAND AVE NE ,WASHINGTON,DC,20002,Not Available,38.8956593,-76.99518381
ACE OF SPADES LOUNGE LLC,Restaurant,1817 7TH ST NW ,WASHINGTON,DC,20001,Not Available,38.91472749,-77.02171795
Macintyre's,Restaurant,2621 CONNECTICUT AVE NW ,WASHINGTON,DC,20008,Not Available,38.92419883,-77.05141878
La Villa Restaurante Inc.,Restaurant,6115 GEORGIA AVE NW ,WASHINGTON,DC,20011,Not Available,38.96427012,-77.027427
RA ENTERPRISES INC,Restaurant,814 H ST NE ,WASHINGTON,DC,20002,Not Available,38.90041916,-76.99426746
816 Dirty Water LLC,Restaurant,816 H ST NE ,WASHINGTON,DC,20002,Not Available,38.90044735,-76.99419333
Around the Corner LLC,Restaurant,501 G ST NW ,WASHINGTON,DC,20001,Not Available,38.89845671,-77.01910676
EASY TIGER TAVERN,Restaurant,1817 COLUMBIA RD NW ,WASHINGTON,DC,20009,Not Available,38.92195667,-77.04364661
Canopy Washington DC | The Wharf,Restaurant,975 7TH ST SW ,WASHINGTON,DC,20024,Not Available,38.87852987,-77.02343195
Rhythm & Eats Bar Japonais LLC,Restaurant,1520 14TH ST NW ,WASHINGTON,DC,20005,Not Available,38.91025603,-77.03220991
KUSSHI GEORGETOWN LLC,Restaurant,2309 WISCONSIN AVE NW ,WASHINGTON,DC,20007,Not Available,38.92061823,-77.0714099
HB Potomac,Restaurant,71 POTOMAC AVE SE ,WASHINGTON,DC,20003,Not Available,38.87075711,-77.00732086
Coffee Republic,Restaurant,3500 O ST NW ,WASHINGTON,DC,20007,Not Available,38.90762131,-77.06924735
"KCL Washington DC, LLC",Restaurant,420 PENN ST NE ,WASHINGTON,DC,20002,Not Available,38.91059522,-76.9975311
Aramark Services,Restaurant,1200 NEW JERSEY AVE SE ,WASHINGTON,DC,20024,Not Available,38.87589043,-77.00328788
RAMEN UNION MARKET LLC,Restaurant,1259 4TH ST NE ,WASHINGTON,DC,20002,Not Available,38.90809288,-76.99947472
IBR INC,Restaurant,1957 E ST NW ,WASHINGTON,DC,20052,Not Available,38.89628365,-77.0442376
Slash Run,Restaurant,201 UPSHUR ST NW ,WASHINGTON,DC,20011,Not Available,38.94240897,-77.01386663
"MSD RCOF DC Hotel OpCo, LLC",Restaurant,1100 PENNSYLVANIA AVE NW ,WASHINGTON,DC,20004,Not Available,38.89412373,-77.02757271
DIVINO DC,Restaurant,2505 WISCONSIN AVE NW ,WASHINGTON,DC,20007,Not Available,38.92333624,-77.07274526
Hornblower Cruises and Events LLC,Restaurant,580 WATER ST SW ,WASHINGTON,DC,20024,Not Available,38.8746671,-77.02138908
Alamo Drafthouse DC LLC,Motion Picture Theatre,630 RHODE ISLAND AVE NE ,WASHINGTON,DC,20002,Not Available,38.922176607,-76.99774104
TSBL LLC,Public Hall,2221 ADAMS PL NE ,WASHINGTON,DC,20018,Not Available,38.91925364,-76.9738869
PENN SOCIAL c/o TIN SHOP LLC,Public Hall,801 E ST NW ,WASHINGTON,DC,20004,Not Available,38.89631206,-77.02324909
DISTRICT WHARF COMMUNITY ASSOCIATION LLC.,Skating Rink,950 WHARF ST SW ,WASHINGTON,DC,20024,Not Available,38.87988968,-77.02640768
DEPARTMENT OF PARKS AND RECREATION,Special Events,1300 PENNSYLVANIA AVE NW ,WASHINGTON,DC,20004,Not Available,38.89493993,-77.03021187
JAPAN-AMERICA SOCIETY INC.,Special Events,300 PENNSYLANIA AVE NW ,WASHINGTON,DC,20004,Not Available,0.0,0.0
WARRIORS INCORPORATED,Special Events,2200 22ND ST NW ,WASHINGTON,DC,20037,Not Available,0.0,0.0
FORDS' THEATRE Society,Special Events,514 10TH ST NW ,WASHINGTON,DC,20004,Not Available,38.89669661,-77.02628341
BREAD FOR THE CITY INC.,Special Events,1700 MARION BARRY AVE SE ,WASHINGTON,DC,20020,Not Available,38.86618484,-76.98045849
ORGANIC CONSULTING LLC,Special Events,300 PENNSYLVANIA AVE NW ,WASHINGTON,DC,20006,Not Available,0.0,0.0
ANACOSTIA BUSINESS IMPROVEMENT DISTRICT,Special Events,1234 MARION BARRY WAY SE ,WASHINGTON,DC,20020,Not Available,0.0,0.0
GREATER WASHINGTON CHINESE AMERICAN COMMUNITY,Special Events,300 PENNSYLVANIA AVE NW ,WASHINGTON,DC,20004,Not Available,0.0,0.0
CHILDREN'S HOSPITAL NATIONAL MEDICAL CENTER,Special Events,1325 PENNSYLVANIA AVE NW ,WASHINGTON,DC,20004,Not Available,38.8964107,-77.0306646
Unknown,Special Events,600 H ST NW ,WASHINGTON,DC,20001,Not Available,0.0,0.0
Woolly Mammoth Theatre Company,Theater (Live),641 D ST NW ,WASHINGTON,DC,20004,Not Available,38.89498024,-77.02144646
"Brass Jar Productions DC, LLC",Theater (Live),1100 13TH ST NW ,WASHINGTON,DC,20005,Not Available,38.90421357,-77.03001416
RHODE ISLAND AVE SHELL,Gasoline Dealer,1830 RHODE ISLAND AVE NE ,WASHINGTON,DC,20018,7037506810.0,38.92875134,-76.97761672
14TH STREET BP,Gasoline Dealer,2600 14TH ST NW ,WASHINGTON,DC,20009,2022324976.0,38.92384138,-77.03261897
"E & C Mid-Atlantic Ventures, LLC",Gasoline Dealer,1442 U ST NW ,WASHINGTON,DC,20009,Not Available,38.9167263698,-77.033859902
District Petroleum,Gasoline Dealer,5030 CONNECTICUT AVE NW ,WASHINGTON,DC,20008,Not Available,38.95532133,-77.07060234
"Anacostia Realty, LLC",Gasoline Dealer,1020 MICHIGAN AVE NE ,WASHINGTON,DC,20017,Not Available,38.9359673,-76.99290255
PETROMORE INC.,Gasoline Dealer,1739 NEW JERSEY AVE NW ,WASHINGTON,DC,20002,7033591498.0,38.91366101,-77.01730021
ANACOSTIA REALTY LLC,Gasoline Dealer,4501 14TH ST NW ,WASHINGTON,DC,20010,2022949378.0,38.94531007,-77.03222909
Peter Bergsten,Bed and Breakfast,1518 26TH ST NW ,WASHINGTON,DC,20007,Not Available,38.90987813,-77.05492123
Hiwot Tadesse,Bed and Breakfast,406 RIGGS RD NE ,WASHINGTON,DC,20011,Not Available,38.95911689,-77.00121031
"Cobblestone Hill, LLC",Bed and Breakfast,2715 P ST NW ,WASHINGTON,DC,20007,Not Available,38.90956951,-77.05609668
Arline Cooper,Bed and Breakfast,1824 13TH ST NW ,WASHINGTON,DC,20009,Not Available,38.91486254,-77.02993815
Artha Capital Management LLC,Bed and Breakfast,912 H ST NE ,WASHINGTON,DC,20002,Not Available,38.90038937,-76.99318461
MASSAWA LLC,Bed and Breakfast,1846 MARYLAND AVE NE ,WASHINGTON,DC,20002,Not Available,38.90325007,-76.97652177
Community of Hope INC,Boarding House,4225 6TH ST SE ,WASHINGTON,DC,20032,Not Available,38.82784916,-76.9992239
Unknown,Boarding House,2612 CATHEDRAL AVE NW ,WASHINGTON,DC,20008,Not Available,38.92801482,-77.05483775
"AFFORDABLE HOUSING OPPORTUNITIES, INC.",Boarding House,2125 18TH ST SE ,WASHINGTON,DC,20020,2026100750.0,38.86338667,-76.97922187
MOTEL 6,Hotel,6711 GEORGIA AVE NW ,WASHINGTON,DC,20012,2027221600.0,38.97208501,-77.02677869
RLJ HP WASHINGTON DC LESSEE LLC,Hotel,1522 K ST NW ,WASHINGTON,DC,20005,3012807700.0,38.90215121,-77.03565916
HYATT PLACE WASHINGTON D.C./NATIONAL MALL,Hotel,400 E ST SW ,WASHINGTON,DC,20024,Not Available,38.88305908,-77.01796358
SKCG 50 M LLC,Hotel,50 M ST SE ,WASHINGTON,DC,20003,2028992800.0,38.87667275,-77.00726638
Canopy by Hilton Washington DC The Wharf,Hotel,975 7TH ST SW ,WASHINGTON,DC,20024,Not Available,38.87852987,-77.02343195
"DC Four Lessee, LLC",Hotel,1430 RHODE ISLAND AVE NW ,WASHINGTON,DC,20005,Not Available,38.90806871,-77.03295326
Omni Shoreham Corporation,Hotel,2500 CALVERT ST NW ,WASHINGTON,DC,20008,Not Available,38.92262375,-77.05381823
HYATT REGENCY WASHINGTON,Hotel,400 NEW JERSEY AVE NW ,WASHINGTON,DC,20001,2027371234.0,38.89521815,-77.01144269
SHARCON HOSPITALITY OF DC THREE LLC.,Hotel,1917 BLADENSBURG RD NE ,WASHINGTON,DC,20002,7035564000.0,38.91639584,-76.97222716
